time,gpu_util,gpu_vram_mb,gpu_temp,cpu_pct,ram_pct,disk_read_mb_s,disk_write_mb_s
16:46:48,0,136.0,62.0,16,28,0.0,0.0
16:46:50,0,136.0,62.0,16,28,0.0,0.0
16:46:52,0,136.0,61.0,16,28,0.0,0.1
16:46:54,0,136.0,62.0,12,28,0.0,0.0
16:46:56,0,136.0,62.0,17,28,0.0,0.0
16:46:58,0,136.0,62.0,16,28,0.0,0.1
16:47:00,0,136.0,62.0,16,28,0.0,0.1
16:47:02,0,136.0,61.0,14,28,0.0,0.1
16:47:04,0,136.0,62.0,15,28,0.0,0.0
16:47:07,0,136.0,62.0,16,28,0.0,0.0
16:47:09,0,136.0,62.0,14,28,0.0,0.1
16:47:11,0,136.0,62.0,14,28,0.0,0.3
16:47:13,0,136.0,62.0,15,28,0.0,0.1
16:47:15,0,136.0,61.0,15,28,0.0,0.1
16:47:17,0,136.0,62.0,12,28,0.0,0.0
16:47:19,0,136.0,62.0,16,28,0.0,0.0
16:47:21,0,136.0,62.0,14,28,0.0,0.0
16:47:23,0,136.0,62.0,13,28,0.0,0.1
16:47:25,0,136.0,62.0,14,28,0.0,0.1
16:47:27,0,136.0,62.0,15,28,0.0,0.0
16:47:29,0,136.0,62.0,26,28,2.8,0.3
16:47:31,2,150.0,62.0,25,28,11.8,0.5
16:47:33,0,150.0,62.0,18,28,0.1,0.4
16:47:35,3,152.0,62.0,15,28,1.0,0.2
16:47:37,8,158.0,62.0,18,28,5.6,0.7
16:47:39,5,159.0,62.0,9,28,0.2,0.2
16:47:41,1,159.0,62.0,10,28,0.1,0.6
16:47:44,1,155.0,62.0,7,28,0.0,0.3
16:47:46,4,159.0,62.0,11,28,0.2,0.3
16:47:48,0,164.0,63.0,9,28,1.6,0.6
16:47:50,0,164.0,62.0,6,28,0.1,0.3
16:47:52,0,164.0,61.0,3,28,0.0,0.0
16:47:54,0,164.0,61.0,9,28,0.1,0.4
16:47:56,0,164.0,61.0,4,27,0.0,0.1
16:47:58,0,164.0,61.0,3,27,0.0,0.2
16:48:00,0,164.0,61.0,11,27,0.1,0.3
16:48:02,0,164.0,60.0,3,27,0.0,0.1
16:48:04,0,164.0,60.0,7,27,0.0,0.3
16:48:06,0,164.0,60.0,5,27,0.0,0.0
16:48:08,0,164.0,60.0,3,27,0.0,0.1
16:48:10,0,164.0,60.0,3,27,0.0,0.0
16:48:12,0,164.0,59.0,3,27,0.0,0.0
16:48:14,0,164.0,59.0,4,27,0.0,0.0
16:48:16,0,164.0,59.0,2,27,0.0,0.3
16:48:18,0,164.0,59.0,3,27,0.0,0.1
16:48:21,0,164.0,59.0,7,27,0.0,0.0
16:48:23,0,164.0,59.0,3,27,0.0,0.0
16:48:25,0,164.0,59.0,2,27,0.1,0.7
16:48:27,0,164.0,58.0,2,27,0.0,0.0
16:48:29,0,164.0,58.0,3,27,0.0,0.1
